timestamp,cv_mae_mean,cv_mae_std,cv_r2_mean,model_type,test_mae,test_rmse,test_r2
2026-03-20T21:20:22.075995,5.711,5.032,-18.2395,rf,3.17,5.149,0.7112
2026-03-20T21:46:57.924396,5.711,5.032,-18.2395,rf,3.17,5.149,0.7112
2026-03-20T21:47:35.404064,5.711,5.032,-18.2395,rf,3.17,5.149,0.7112
2026-03-20T21:48:01.524188,5.711,5.032,-18.2395,rf,3.17,5.149,0.7112
